date,precipitation,city,quarter,year,month,cumulative_month,cumulative_quarter
2020-01-01,0.1625,Seattle,1,2020,1,0,0
2020-01-02,0.18125000000000002,Seattle,1,2020,1,0,0
2020-01-03,0.2675,Seattle,1,2020,1,0,0
2020-01-04,0.17200000000000001,Seattle,1,2020,1,0,0
2020-01-05,0.16857142857142857,Seattle,1,2020,1,0,0
2020-01-06,0.23333333333333336,Seattle,1,2020,1,0,0
2020-01-07,0.5111111111111111,Seattle,1,2020,1,0,0
2020-01-08,0.0425,Seattle,1,2020,1,0,0
2020-01-09,0.060000000000000005,Seattle,1,2020,1,0,0
2020-01-10,0.16777777777777778,Seattle,1,2020,1,0,0
2020-01-11,0.4311111111111111,Seattle,1,2020,1,0,0
2020-01-12,0.3457142857142857,Seattle,1,2020,1,0,0
2020-01-13,0.22666666666666666,Seattle,1,2020,1,0,0
2020-01-14,0.14833333333333332,Seattle,1,2020,1,0,0
2020-01-15,0.022857142857142857,Seattle,1,2020,1,0,0
2020-01-16,0.04857142857142858,Seattle,1,2020,1,0,0
2020-01-17,0.008571428571428572,Seattle,1,2020,1,0,0
2020-01-18,0.5,Seattle,1,2020,1,0,0
2020-01-19,0.045714285714285714,Seattle,1,2020,1,0,0
2020-01-20,0.049999999999999996,Seattle,1,2020,1,0,0
2020-01-21,0.2814285714285714,Seattle,1,2020,1,0,0
2020-01-22,0.66,Seattle,1,2020,1,0,0
2020-01-23,0.5025,Seattle,1,2020,1,0,0
2020-01-24,0.8462500000000001,Seattle,1,2020,1,0,0
2020-01-25,0.3114285714285714,Seattle,1,2020,1,0,0
2020-01-26,0.29857142857142854,Seattle,1,2020,1,0,0
2020-01-27,0.17625,Seattle,1,2020,1,0,0
2020-01-28,0.97,Seattle,1,2020,1,0,0
2020-01-29,0.14500000000000002,Seattle,1,2020,1,0,0
2020-01-30,0.25375,Seattle,1,2020,1,0,0
2020-01-31,0.30142857142857143,Seattle,1,2020,1,0,0
2020-02-01,1.337142857142857,Seattle,1,2020,2,1,0
2020-02-02,0.08571428571428572,Seattle,1,2020,2,1,0
2020-02-03,0.06125,Seattle,1,2020,2,1,0
2020-02-04,0.004285714285714286,Seattle,1,2020,2,1,0
2020-02-05,0.5755555555555555,Seattle,1,2020,2,1,0
2020-02-06,1.1122222222222222,Seattle,1,2020,2,1,0
2020-02-07,0.5122222222222222,Seattle,1,2020,2,1,0
2020-02-08,0.21333333333333335,Seattle,1,2020,2,1,0
2020-02-09,0.02142857142857143,Seattle,1,2020,2,1,0
2020-02-10,0.00125,Seattle,1,2020,2,1,0
2020-02-11,0.0014285714285714286,Seattle,1,2020,2,1,0
2020-02-12,0.06714285714285714,Seattle,1,2020,2,1,0
2020-02-13,0.005,Seattle,1,2020,2,1,0
2020-02-14,0.1322222222222222,Seattle,1,2020,2,1,0
2020-02-15,0.08142857142857143,Seattle,1,2020,2,1,0
2020-02-16,0.198,Seattle,1,2020,2,1,0
2020-02-17,0.018333333333333337,Seattle,1,2020,2,1,0
2020-02-18,0.0,Seattle,1,2020,2,1,0
2020-02-19,0.0,Seattle,1,2020,2,1,0
2020-02-20,0.004,Seattle,1,2020,2,1,0
2020-02-21,0.0,Seattle,1,2020,2,1,0
2020-02-22,0.014000000000000002,Seattle,1,2020,2,1,0
2020-02-23,0.20714285714285713,Seattle,1,2020,2,1,0
2020-02-24,0.04,Seattle,1,2020,2,1,0
2020-02-25,0.0016666666666666668,Seattle,1,2020,2,1,0
2020-02-26,0.017142857142857144,Seattle,1,2020,2,1,0
2020-02-27,0.002857142857142857,Seattle,1,2020,2,1,0
2020-02-28,0.015,Seattle,1,2020,2,1,0
2020-02-29,0.11166666666666668,Seattle,1,2020,2,1,0
2020-03-01,0.043333333333333335,Seattle,1,2020,3,2,0
2020-03-02,0.02,Seattle,1,2020,3,2,0
2020-03-03,0.14857142857142858,Seattle,1,2020,3,2,0
2020-03-04,0.03,Seattle,1,2020,3,2,0
2020-03-05,0.045000000000000005,Seattle,1,2020,3,2,0
2020-03-06,0.6683333333333333,Seattle,1,2020,3,2,0
2020-03-07,0.09333333333333334,Seattle,1,2020,3,2,0
2020-03-08,0.09999999999999999,Seattle,1,2020,3,2,0
2020-03-09,0.01,Seattle,1,2020,3,2,0
2020-03-10,0.0,Seattle,1,2020,3,2,0
2020-03-11,0.041666666666666664,Seattle,1,2020,3,2,0
2020-03-12,0.03333333333333333,Seattle,1,2020,3,2,0
2020-03-13,0.13142857142857142,Seattle,1,2020,3,2,0
2020-03-14,0.23428571428571426,Seattle,1,2020,3,2,0
2020-03-15,0.0,Seattle,1,2020,3,2,0
2020-03-16,0.0,Seattle,1,2020,3,2,0
2020-03-17,0.0,Seattle,1,2020,3,2,0
2020-03-18,0.0,Seattle,1,2020,3,2,0
2020-03-19,0.0,Seattle,1,2020,3,2,0
2020-03-20,0.0,Seattle,1,2020,3,2,0
2020-03-21,0.0,Seattle,1,2020,3,2,0
2020-03-22,0.0,Seattle,1,2020,3,2,0
2020-03-23,0.016666666666666666,Seattle,1,2020,3,2,0
2020-03-24,0.022857142857142857,Seattle,1,2020,3,2,0
2020-03-25,0.42,Seattle,1,2020,3,2,0
2020-03-26,0.06666666666666667,Seattle,1,2020,3,2,0
2020-03-27,0.02142857142857143,Seattle,1,2020,3,2,0
2020-03-28,0.06874999999999999,Seattle,1,2020,3,2,0
2020-03-29,0.62875,Seattle,1,2020,3,2,0
2020-03-30,0.37875000000000003,Seattle,1,2020,3,2,0
2020-03-31,0.2957142857142857,Seattle,1,2020,3,2,0
2020-04-01,0.12,Seattle,2,2020,4,3,1
2020-04-02,0.018571428571428572,Seattle,2,2020,4,3,1
2020-04-03,0.007500000000000001,Seattle,2,2020,4,3,1
2020-04-04,0.0475,Seattle,2,2020,4,3,1
2020-04-05,0.0033333333333333335,Seattle,2,2020,4,3,1
2020-04-06,0.0,Seattle,2,2020,4,3,1
2020-04-07,0.0,Seattle,2,2020,4,3,1
2020-04-08,0.0,Seattle,2,2020,4,3,1
2020-04-09,0.0,Seattle,2,2020,4,3,1
2020-04-10,0.0,Seattle,2,2020,4,3,1
2020-04-11,0.0011111111111111111,Seattle,2,2020,4,3,1
2020-04-12,0.0,Seattle,2,2020,4,3,1
2020-04-13,0.0,Seattle,2,2020,4,3,1
2020-04-14,0.0,Seattle,2,2020,4,3,1
2020-04-15,0.0,Seattle,2,2020,4,3,1
2020-04-16,0.0,Seattle,2,2020,4,3,1
2020-04-17,0.0,Seattle,2,2020,4,3,1
2020-04-18,0.06625,Seattle,2,2020,4,3,1
2020-04-19,0.1388888888888889,Seattle,2,2020,4,3,1
2020-04-20,0.0,Seattle,2,2020,4,3,1
2020-04-21,0.0,Seattle,2,2020,4,3,1
2020-04-22,0.10285714285714286,Seattle,2,2020,4,3,1
2020-04-23,0.6875,Seattle,2,2020,4,3,1
2020-04-24,0.1025,Seattle,2,2020,4,3,1
2020-04-25,0.16666666666666666,Seattle,2,2020,4,3,1
2020-04-26,0.21500000000000002,Seattle,2,2020,4,3,1
2020-04-27,0.20875,Seattle,2,2020,4,3,1
2020-04-28,0.01,Seattle,2,2020,4,3,1
2020-04-29,0.01,Seattle,2,2020,4,3,1
2020-04-30,0.025714285714285714,Seattle,2,2020,4,3,1
2020-05-01,0.00375,Seattle,2,2020,5,4,1
2020-05-02,0.08125,Seattle,2,2020,5,4,1
2020-05-03,0.225,Seattle,2,2020,5,4,1
2020-05-04,0.015714285714285715,Seattle,2,2020,5,4,1
2020-05-05,0.0,Seattle,2,2020,5,4,1
2020-05-06,0.02,Seattle,2,2020,5,4,1
2020-05-07,0.02,Seattle,2,2020,5,4,1
